title,categoryName,city,totalScore,reviewsCount
Dago Dreampark,Tujuan Wisata,Kabupaten Bandung Barat,4.2,19831.0
Glamping Lakeside Rancabali,Hotel Resor,Kabupaten Bandung,4.5,18624.0
Teras Cikapundung BBWS,Taman Kota,Kota Bandung,4.3,8854.0
Taman Lalu Lintas Ade Irma Suryani Nasution,Taman Hiburan,Kota Bandung,4.4,13254.0
Kota Mini Lembang,Pusat Rekreasi,Kabupaten Bandung Barat,4.4,3751.0
Panghegar Waterboom Bandung,Taman Rekreasi Air,Kota Bandung,4.4,5756.0
Taman Film,Taman Kota,Kota Bandung,4.4,4500.0
Masjid Raya Bandung,Masjid,Kota Bandung,4.6,9258.0
Alun-alun Kota Bandung,Taman Kota,Kota Bandung,4.6,118786.0
Kebun Binatang Bandung,Kebun Binatang,Kota Bandung,4.2,22773.0
Curug Tilu Leuwi Opat,Tujuan Wisata,Kabupaten Bandung Barat,4.5,1992.0
Lawangwangi Creative Space,Galeri Seni,Kabupaten Bandung Barat,4.5,4493.0
Taman Budaya Jawa Barat,Teater Seni Pertunjukan,Kota Bandung,4.4,759.0
Curug Aseupan,Tujuan Wisata,Kabupaten Bandung Barat,4.7,363.0
CURUG BATU TEMPLEK CISANGGARUNG,Tujuan Wisata,Kabupaten Bandung,4.5,627.0
Air Terjun Anom,Tujuan Wisata,Kabupaten Bandung Barat,4.6,325.0
Jendela Alam,Tujuan Wisata,Kabupaten Bandung Barat,4.5,2862.0
"Gereja Katedral Bandung, Santo Petrus",Katedral Katolik,Kota Bandung,4.8,5284.0
Museum Mandala Wangsit Siliwangi,Museum Angkatan Bersenjata,Kota Bandung,4.5,1154.0
Pesona Nirwana Waterpark & Cottages / Resort,Taman Rekreasi Air,Kabupaten Bandung,4.3,2493.0
Kawasan Punclut,Tujuan Wisata,Kabupaten Bandung Barat,4.6,5370.0
Rainbow Garden Lembang,Taman,Kabupaten Bandung Barat,4.6,5242.0
Taman Kupu-Kupu Cihanjuang,Gedung Pernikahan,Kabupaten Bandung Barat,4.2,1751.0
Taman Balai Kota Bandung,Taman Kota,Kota Bandung,4.6,11840.0
Sudut Pandang Bandung,Tujuan Wisata,Kabupaten Bandung Barat,4.6,3281.0
Grand Maerakaca,Tourist attraction,Kota Semarang,4.4,5527.0
Semarang Contemporary Art Gallery,Art gallery,Kota Semarang,4.6,1856.0
